match_number,red1,red2,red3,blue1,blue2,blue3
1,9313,2438,5410,3284,3843,3630
2,3959,6184,8044,5005,34,9073
3,5472,6517,8772,7428,6823,5842
4,5045,8773,7565,2973,538,179
5,7430,5965,233,8624,1038,7567
6,6936,6404,1747,5276,547,7072
7,3937,4499,6302,5002,7111,8788
8,2556,4576,6107,3616,9280,2992
9,5842,1466,2973,3630,1622,9313
10,6184,233,34,7430,7565,6823
11,9073,1747,8773,7567,5045,8772
12,6517,1038,5002,8788,6936,5472
13,7072,7111,2556,538,8044,5965
14,5005,7428,2992,1466,3843,4499
15,3284,5276,9280,1622,3937,547
16,8624,6302,6107,179,5410,6404
17,4576,3616,5842,3959,2438,8788
18,8773,9313,6517,1747,2556,7430
19,4499,7567,7428,2973,8044,3630
20,5276,8772,1038,5045,3843,9280
21,538,5410,5005,1622,179,34
22,547,6302,5002,233,4576,1466
23,7072,8624,6936,6107,7565,5472
24,3284,2992,7111,6184,6404,3616
25,6823,2438,3937,9073,3959,5965
26,7567,3630,5276,34,2556,8772
27,1747,9313,3843,179,8788,4576
28,5410,9280,8624,7072,4499,6517
29,5045,6107,7430,1466,7111,5005
30,6936,2973,5002,2992,8044,6823
31,233,5842,8773,9073,3284,6184
32,3616,547,538,7428,6302,5472
33,1622,7565,3959,6404,5965,1038
34,2438,5045,5005,3937,5276,8624
35,3843,5002,6823,5410,6107,7567
36,8788,7072,3284,179,6184,7430
37,538,4499,233,8772,9313,3616
38,2556,6936,1622,2973,7428,9073
39,7565,3630,6302,9280,1747,3959
40,1466,6404,8044,5965,6517,2438
41,8773,34,5472,3937,4576,7111
42,547,1038,5005,5410,2992,5842
43,8624,6823,6184,2556,538,3843
44,6107,233,3959,4499,1747,2973
45,6936,2438,7565,6302,7430,8772
46,8044,5045,8788,3630,5472,9280
47,9073,1622,2992,6517,7111,547
48,3284,1038,3616,9313,5965,34
49,179,7567,1466,5842,7072,3937
50,6404,7428,5276,5002,4576,8773
51,2973,5472,2438,1747,6184,5410
52,6517,8788,2556,7565,5005,233
53,3843,5965,6107,34,3630,547
54,7567,538,7072,6936,3616,3959
55,7111,179,9073,9280,5002,7428
56,2992,7430,6404,5842,1622,5045
57,6823,3284,9313,5276,8773,6302
58,8772,3937,1466,8044,8624,4576
59,4499,2556,547,2438,7072,1038
60,3843,5410,7111,233,9073,6936
61,3616,5002,1622,7565,5842,1747
62,5965,5276,2973,6517,6302,538
63,8788,34,7428,2992,8624,5045
64,7430,3284,4576,4499,6107,8044
65,9313,9280,6404,6823,5005,7567
66,6184,8772,3630,1038,3937,179
67,5472,3959,5410,8773,1466,2556
68,547,5842,3843,7111,2973,8624
69,8044,9073,7430,5276,3616,1747
70,9280,34,538,5002,6404,2438
71,6302,8788,6184,6107,8772,1622
72,1038,1466,6936,8773,5005,3284
73,4576,3630,5045,7072,233,6823
74,5965,5472,179,2992,3959,4499
75,3937,7567,9313,7428,7565,6517
76,34,5842,7430,6302,2556,9280
77,8044,3616,8773,8624,3843,1622
78,5005,5002,7072,8772,2973,3284
79,4576,4499,5965,5045,6936,6184
80,7111,1747,7428,1038,6823,5410
81,3959,6517,3937,6107,547,9313
82,3630,2992,1466,538,9073,7565
83,2438,179,5276,5472,7567,233
84,6404,8773,2973,8788,7430,4499
